"FIPS","Year","Alzheimers Deaths","Population","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50","Poverty Percent, All Ages","% Smokers","% Excessive Drinking","% African American","% Asian","% Hispanic","% Age < 18","% Age 65 and over","% Obese","% Unemployed","% Uninsured","Median Household Income","% Rural","PM2_5GE_ThresholdLastYear","PM2_5GE_ThresholdLast2Year","PM2_5GE_ThresholdLast3Year","PM2_5GE_ThresholdLast4Year","PM2_5GE_ThresholdLast5Year","PM2_5GT35LE50LastYear","PM2_5GT35LE50Last2Year","PM2_5GT35LE50Last3Year","PM2_5GT35LE50Last4Year","PM2_5GT35LE50Last5Year","PM2_5GT50LastYear","PM2_5GT50Last2Year","PM2_5GT50Last3Year","PM2_5GT50Last4Year","PM2_5GT50Last5Year"
6021,2015,12,28017,"California","Glenn",0,0,0,18.5,15,17,0.765926986,2.884753042,39.52755906,27.09735147,14.56335004,25.9,12.19836002,22.8769134,42129,40.87191523,0,1,2,3,3,0,1,2,3,3,0,0,0,0,0
6021,2016,14,28085,"California","Glenn",0,0,0,16.7,14.7,17.6,0.736898587,2.979788947,40.38991236,26.71793955,14.85959578,28.3,10.65230865,22.48252489,43755,40.87191523,0,0,1,2,3,0,0,1,2,3,0,0,0,0,0
6021,2017,14,28094,"California","Glenn",6,5,1,14.8,14.28177335,17.01058704,0.767391227,3.098118999,41.13216975,26.73733805,15.06228361,26.7,8.733790999,18.00545749,43584,40.87191523,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0
6021,2018,16,28047,"California","Glenn",17,8,9,15.4,14.00330581,17.63831817,0.78689692,3.111981485,41.67349119,26.50881253,15.49581627,27,8.21174853,11.61034306,46141,40.87191523,6,6,6,6,7,5,5,5,5,6,1,1,1,1,1
6021,2019,13,28393,"California","Glenn",0,0,0,12.1,14.00330581,17.63831817,0.808001709,3.082508721,41.93066135,26.42201182,15.62255286,25.6,7.456445993,9.869606245,49979,40.87191523,17,23,23,23,23,8,13,13,13,13,9,10,10,10,10
6023,2015,43,135727,"California","Humboldt",0,0,0,20.9,18.6,22,1.147271605,2.538422074,10.47563814,19.45156997,14.8007703,25.7,8.795836615,20.92690299,40882,29.75865937,1,2,2,2,2,1,2,2,2,2,0,0,0,0,0
6023,2016,49,136646,"California","Humboldt",0,0,0,20,15.2,19.8,1.176479315,2.753525358,10.8264285,19.45938328,15.41440112,24.5,6.782362034,20.83139929,40581,29.75865937,0,1,2,2,2,0,1,2,2,2,0,0,0,0,0
6023,2017,40,136754,"California","Humboldt",7,4,3,19.7,15.9289783,20.89400365,1.227463953,2.888150479,11.12674707,19.53774857,16.05502221,25.5,5.628023566,14.91656547,40739,29.75865937,0,0,1,2,2,0,0,1,2,2,0,0,0,0,0
6023,2018,27,136373,"California","Humboldt",5,4,1,20.3,15.27977715,20.38809677,1.178958769,2.88702194,11.34464236,19.44806288,16.55225912,27.5,4.882407378,8.93508881,43164,29.75865937,7,7,7,8,9,4,4,4,5,6,3,3,3,3,3
6023,2019,26,135558,"California","Humboldt",0,0,0,19.1,15.27977715,20.38809677,1.19119002,2.909604107,11.71080919,19.23892537,17.21631543,26.7,4.187625954,8.328815642,46123,29.75865937,5,12,12,12,13,4,8,8,8,9,1,4,4,4,4
6025,2015,12,180191,"California","Imperial",5,3,2,24.3,12.4,15.8,2.567616545,2.357518235,81.8222489,28.8474607,11.51803108,22.1,24.48877868,22.56506429,40106,17.41783553,10,10,11,13,14,8,8,9,11,12,2,2,2,2,2
6025,2016,15,180883,"California","Imperial",3,3,0,23.6,14.4,16.5,2.538374346,2.344618099,82.27604961,28.53912257,12.01791268,25,23.61772108,21.46049864,38737,17.41783553,5,15,15,16,18,3,11,11,12,14,2,4,4,4,4
6025,2017,31,182830,"California","Imperial",7,6,1,20.7,13.77491179,17.33285316,2.541192401,2.356388499,82.6728305,28.36934142,12.4545621,26.3,24.00836396,15.98651812,39925,17.41783553,3,8,18,18,19,3,6,14,14,15,0,2,4,4,4
6025,2018,40,181827,"California","Imperial",6,5,1,21.4,13.43298112,16.62235449,2.46457655,2.202528706,83.75413942,28.65498693,12.68941802,28.1,23.52106996,10.6469466,43327,17.41783553,7,10,15,25,25,6,9,12,20,20,1,1,3,5,5
