"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Jefferson County, AL"	"01073"	"2000"	"2000"	51	662047	7.7	7.6	0.0%
	"Jefferson County, AL"	"01073"	"2001"	"2001"	73	660197	11.1	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2002"	"2002"	77	657518	11.7	11.2	0.0%
	"Jefferson County, AL"	"01073"	"2003"	"2003"	59	657513	9.0	8.4	0.0%
	"Jefferson County, AL"	"01073"	"2004"	"2004"	80	656023	12.2	11.6	0.0%
	"Jefferson County, AL"	"01073"	"2005"	"2005"	74	654919	11.3	10.5	0.0%
	"Jefferson County, AL"	"01073"	"2006"	"2006"	62	655893	9.5	8.7	0.0%
	"Jefferson County, AL"	"01073"	"2007"	"2007"	77	655163	11.8	10.7	0.0%
	"Jefferson County, AL"	"01073"	"2008"	"2008"	64	656510	9.7	8.8	0.0%
	"Jefferson County, AL"	"01073"	"2009"	"2009"	78	658441	11.8	10.5	0.0%
	"Jefferson County, AL"	"01073"	"2010"	"2010"	73	658466	11.1	9.9	0.0%
	"Jefferson County, AL"	"01073"	"2011"	"2011"	95	658931	14.4	12.5	0.0%
	"Jefferson County, AL"	"01073"	"2012"	"2012"	81	660009	12.3	10.5	0.0%
	"Jefferson County, AL"	"01073"	"2013"	"2013"	86	659479	13.0	11.5	0.0%
	"Jefferson County, AL"	"01073"	"2014"	"2014"	78	660793	11.8	10.4	0.0%
	"Jefferson County, AL"	"01073"	"2015"	"2015"	69	660367	10.4	8.5	0.0%
	"Jefferson County, AL"	"01073"	"2016"	"2016"	80	659521	12.1	10.1	0.0%
	"Jefferson County, AL"	"01073"	"2017"	"2017"	95	659197	14.4	12.0	0.0%
	"Jefferson County, AL"	"01073"	"2018"	"2018"	97	659300	14.7	12.0	0.0%
	"Jefferson County, AL"	"01073"	"2019"	"2019"	74	658573	11.2	9.2	0.0%
	"Jefferson County, AL"	"01073"	"2020 "	"2020"	103	655342	15.7	13.0	0.0%
	"Lauderdale County, AL"	"01077"	"2001"	"2001"	12	87791	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2002"	"2002"	13	87627	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2004"	"2004"	10	88732	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2007"	"2007"	13	91107	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2009"	"2009"	14	92526	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2011"	"2011"	10	92781	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2012"	"2012"	11	92542	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2013"	"2013"	23	92797	24.8	19.4	0.0%
	"Lauderdale County, AL"	"01077"	"2014"	"2014"	16	93096	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	16	92596	Unreliable	Unreliable	0.0%
